,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2EBCVPNAG46nbgs6jXPGvv,Starships,Nicki Minaj,75,2012-01-01,0.747,0.716,11,-2.457,0,0.135,0.0,0.251,0.751,125.008,210627,4
1,6pGUGTIaZ1H4jKHIL4Fged,Wild Strawberries,PNAU,0,2009-01-01,0.647,0.933,7,-4.056,1,0.000351,0.00277,0.334,0.332,119.921,235107,4
2,09TcIuH1ZO7i4vicWKoaN2,Papaoutai,Stromae,0,2013-01-01,0.733,0.818,10,-7.222,0,0.0241,0.0,0.0636,0.253,116.019,232147,4
3,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,82,1983-01-04,0.692,0.711,0,-7.498,0,0.225,0.0,0.12,0.875,125.135,216933,4
4,3w2GGz0HjIu9OcWXINRFJR,Rock and Roll - 1990 Remaster,Led Zeppelin,3,1971-11-08,0.327,0.895,9,-7.428,1,0.000564,0.0159,0.104,0.898,169.39,219800,4
5,4X4tgBEUiT6WqB2oTJ5ynH,Talk Dirty (feat. 2 Chainz),2 Chainz,54,2013-09-10,0.76,0.652,6,-7.321,1,0.0348,0.0,0.307,0.759,100.315,177685,4
6,36pLU2ywVeBKEF0rrKtmCB,La La La,Sam Smith,62,2014-01-01,0.772,0.65,6,-5.202,0,0.107,1.13e-06,0.0905,0.262,125.082,222200,4
7,0BBZuOGGBj9u4X3rAfmae8,Play Hard (feat. Ne-Yo & Akon),David Guetta,54,2011-08-26,0.691,0.921,8,-1.702,0,0.173,0.0,0.331,0.8,130.072,201000,4
8,1obZSxOoO12yWkwY1kY72N,Feel This Moment (feat. Christina Aguilera),Christina Aguilera,56,2012,0.673,0.758,7,-3.632,1,0.039,0.0,0.341,0.542,135.956,229507,4
9,1a1r5s7ivXUVQQrIvo5VSs,Love Me Again,John Newman,0,2013-01-01,0.5,0.892,2,-4.714,0,0.00445,0.000422,0.0969,0.233,126.019,239894,4
10,1mz9ZrRYu3EPVg9ZHFtjjf,A Little Party Never Killed Nobody (All We Got),GoonRock,56,2013-01-01,0.763,0.653,5,-5.05,0,0.00876,5.46e-06,0.0854,0.477,130.025,240907,4
11,1gYMxXXGANfGIGXDFf9Czv,We Found Love,Calvin Harris,0,2011-11-18,0.75,0.756,1,-4.45,1,0.0187,0.00125,0.196,0.6,127.992,215227,4
12,0sooJd5WbNnnz5k6yO7FIQ,Pompeii,Bastille,0,2013-01-01,0.682,0.714,9,-6.306,1,0.074,0.0,0.278,0.581,127.443,214148,4
13,6mnjcTmK8TewHfyOp3fC9C,Die Young,Kesha,0,2012-11-30,0.711,0.7,1,-4.805,0,0.00498,0.000125,0.215,0.801,128.001,211920,4
14,0wJJhRgdHhT93Z3iWdMB0T,Hymn,Kesha,0,2017-08-03,0.488,0.538,6,-4.974,1,0.147,0.0,0.305,0.38,67.037,205600,4
15,2GgxS8bUT5G25QJTsfSv0R,Burn,Ellie Goulding,71,2014-01-01,0.559,0.777,1,-5.031,1,0.31,0.0,0.105,0.329,87.016,231212,4
16,28GieRAflAHypFfEimSaxa,Animals - Extended,Martin Garrix,0,2013-01-01,0.673,0.853,1,-6.451,1,0.00171,0.724,0.39,0.0382,128.015,303827,4
17,6BnONjR7itGMEqwxKTIlRM,Safe And Sound,Capital Cities,0,2013,0.653,0.822,0,-4.857,1,0.00021,0.0047,0.0838,0.762,117.949,192790,5
18,0JhKJg5ejeQ8jq89UQtnw8,Levels - Radio Edit,Avicii,0,2011-10-28,0.62,0.881,1,-5.851,0,0.0585,0.714,0.311,0.415,126.035,199904,4
19,0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),Sia,79,2012-12-07,0.604,0.787,0,-3.674,0,0.0679,0.15,0.127,0.301,126.062,245040,4
